hrm_mean,hrm_min,hrm_max,hrm_med,hrm_var,hrm_kurtosis,hrm_skew,hrm_p10,hrm_p90,accel_mean,accel_min,accel_max,accel_med,accel_var,accel_kurtosis,accel_skew,accel_p10,accel_p90,label
61.833,61.0,62.0,62.0,0.139,1.2,-1.789,61.0,62.0,9.801,9.594,10.365,9.794,0.014,14.597,3.373,9.7,9.868,awake
62.733,62.0,63.0,63.0,0.196,-0.886,-1.055,62.0,63.0,9.873,9.575,11.618,9.778,0.15,12.285,3.599,9.721,9.897,awake
62.7,62.0,63.0,63.0,0.21,-1.238,-0.873,62.0,63.0,10.065,9.069,15.721,9.782,1.463,14.044,3.829,9.68,9.945,awake
65.067,63.0,75.0,63.0,16.662,0.933,1.652,63.0,73.1,9.959,8.364,12.784,9.82,0.824,2.464,1.4,9.193,10.821,awake
71.8,66.0,75.0,73.0,13.027,-1.192,-0.71,66.0,75.0,9.845,8.03,12.653,9.798,0.481,7.99,1.581,9.681,10.021,awake
62.5,60.0,64.0,63.0,1.583,-1.326,-0.201,61.0,64.0,9.913,9.859,10.003,9.911,0.001,3.857,1.274,9.893,9.932,awake
64.0,64.0,64.0,64.0,0.0,-3.0,0.0,64.0,64.0,9.95,6.591,13.016,9.863,1.451,1.967,-0.276,9.006,11.65,awake
67.033,64.0,72.0,66.0,7.299,-0.731,0.746,64.0,72.0,9.842,9.521,10.539,9.833,0.022,14.106,3.003,9.77,9.88,awake
64.6,62.0,69.0,63.0,6.24,-1.291,0.664,62.0,68.0,9.83,9.788,9.894,9.831,0.0,1.654,0.434,9.804,9.852,awake
66.633,63.0,69.0,67.0,3.232,-1.106,-0.441,64.0,69.0,9.844,9.779,10.129,9.832,0.004,10.728,3.277,9.803,9.854,light
62.367,61.0,64.0,62.0,1.499,-1.57,0.146,61.0,64.0,9.819,9.784,9.863,9.815,0.0,-0.855,0.333,9.796,9.848,light
60.8,60.0,62.0,61.0,0.227,0.228,-0.519,60.0,61.0,9.83,9.795,9.867,9.833,0.0,-0.203,-0.255,9.803,9.85,light
60.367,60.0,61.0,60.0,0.232,-1.694,0.553,60.0,61.0,9.834,9.817,9.852,9.834,0.0,-0.724,0.04,9.823,9.845,light
61.167,61.0,62.0,61.0,0.139,1.2,1.789,61.0,62.0,9.801,9.002,9.857,9.83,0.023,23.274,-4.955,9.815,9.85,light
63.4,62.0,65.0,63.0,1.44,-1.486,0.236,62.0,65.0,9.793,9.674,9.835,9.794,0.001,6.841,-2.04,9.773,9.823,light
59.567,57.0,63.0,59.0,2.179,-0.413,0.647,58.0,62.0,9.8,9.774,9.827,9.8,0.0,-0.837,0.328,9.783,9.825,wake
58.6,56.0,61.0,59.0,2.907,-1.247,-0.131,56.0,61.0,9.797,9.772,9.822,9.798,0.0,-1.121,-0.098,9.775,9.817,wake
57.867,57.0,59.0,58.0,0.516,-1.051,0.203,57.0,59.0,9.798,9.753,9.858,9.799,0.0,1.826,0.5,9.779,9.816,wake
57.833,57.0,59.0,58.0,0.206,0.758,-0.636,57.0,58.0,9.802,9.781,9.823,9.801,0.0,-0.825,0.059,9.787,9.818,wake
57.2,55.0,59.0,57.5,1.56,-0.938,-0.382,55.0,59.0,9.797,9.778,9.853,9.791,0.0,3.181,1.595,9.78,9.812,wake
56.767,55.0,59.0,57.0,0.846,-0.23,0.22,56.0,58.0,9.802,9.779,9.845,9.8,0.0,1.287,0.735,9.78,9.817,wake
